INFO 2020-11-10 09:13:45,661 - POST -> Client has accessed Root1/default.html and the post info is - 
Test data for multiple post
INFO 2020-11-10 09:13:45,661 - POST -> cookie sent: SessionId=64615
WARNING 2020-11-10 09:13:45,662 - [Errno 9] Bad file descriptor
INFO 2020-11-10 09:13:45,662 - POST -> cookie sent: SessionId=64615
WARNING 2020-11-10 09:13:45,662 - [Errno 9] Bad file descriptor
INFO 2020-11-10 09:13:45,662 - POST -> Client has accessed Root1/default.html and the post info is - 
Test data for multiple post
INFO 2020-11-10 09:13:45,663 - POST -> cookie sent: SessionId=64615
INFO 2020-11-10 09:13:45,663 - POST -> Client has accessed Root1/default.html and the post info is - 
Test data for multiple post
WARNING 2020-11-10 09:13:45,663 - [Errno 9] Bad file descriptor
INFO 2020-11-10 09:13:45,663 - POST -> cookie sent: SessionId=64615
WARNING 2020-11-10 09:13:45,664 - [Errno 9] Bad file descriptor
INFO 2020-11-10 09:13:45,664 - POST -> Client has accessed Root1/default.html and the post info is - 
Test data for multiple post
INFO 2020-11-10 09:13:45,664 - POST -> cookie sent: SessionId=64615
WARNING 2020-11-10 09:13:45,664 - [Errno 9] Bad file descriptor
INFO 2020-11-10 09:13:45,670 - POST -> Client has accessed Root1/default.html and the post info is - 

INFO 2020-11-10 09:13:45,670 - POST -> cookie sent: SessionId=64615
WARNING 2020-11-10 09:13:45,671 - [Errno 9] Bad file descriptor
INFO 2020-11-10 09:13:45,671 - POST -> Client has accessed Root1/default.html and the post info is - 

INFO 2020-11-10 09:13:45,671 - POST -> cookie sent: SessionId=64615
WARNING 2020-11-10 09:13:45,671 - [Errno 9] Bad file descriptor
INFO 2020-11-10 09:13:45,672 - POST -> Client has accessed Root1/default.html and the post info is - 
Test data for multiple post
INFO 2020-11-10 09:13:45,672 - POST -> cookie sent: SessionId=64615
WARNING 2020-11-10 09:13:45,673 - [Errno 9] Bad file descriptor
INFO 2020-11-10 09:13:45,673 - POST -> Client has accessed Root1/default.html and the post info is - 
Test data for multiple post
INFO 2020-11-10 09:13:45,673 - POST -> cookie sent: SessionId=64615
WARNING 2020-11-10 09:13:45,674 - [Errno 9] Bad file descriptor
INFO 2020-11-10 09:13:45,674 - POST -> Client has accessed Root1/default.html and the post info is - 
Test data for multiple post
INFO 2020-11-10 09:13:45,674 - POST -> cookie sent: SessionId=64615
WARNING 2020-11-10 09:13:45,674 - [Errno 9] Bad file descriptor
INFO 2020-11-10 09:13:45,675 - POST -> Client has accessed Root1/default.html and the post info is - 
Test data for multiple post
INFO 2020-11-10 09:13:45,675 - POST -> cookie sent: SessionId=64615
WARNING 2020-11-10 09:13:45,675 - [Errno 9] Bad file descriptor
INFO 2020-11-10 09:13:46,630 - POST -> Client has accessed Root1/http.py and the post info is - 
Test data for POST
INFO 2020-11-10 09:13:46,631 - POST -> cookie sent: SessionId=64615
WARNING 2020-11-10 09:13:46,631 - [Errno 9] Bad file descriptor
INFO 2020-11-10 09:13:46,635 - PUT -> Client has written in Root1/put_data.txt - 
Test data for Simple PUT
INFO 2020-11-10 09:13:46,635 - PUT -> cookie sent: SessionId=64615
WARNING 2020-11-10 09:13:46,636 - [Errno 9] Bad file descriptor
INFO 2020-11-10 09:13:46,643 - PUT -> Client has written in Root1/put_data.txt - 
Test data for Simple PUT
INFO 2020-11-10 09:13:46,644 - PUT -> cookie sent: SessionId=64615
WARNING 2020-11-10 09:13:46,644 - [Errno 9] Bad file descriptor
INFO 2020-11-10 09:13:46,655 - POST -> Client has accessed Root1/data.txt and the post info is - 

INFO 2020-11-10 09:13:46,655 - POST -> cookie sent: SessionId=64615
WARNING 2020-11-10 09:13:46,656 - [Errno 9] Bad file descriptor
INFO 2020-11-10 09:13:46,657 - POST -> Client has accessed Root1/data.txt and the post info is - 

INFO 2020-11-10 09:13:46,657 - POST -> cookie sent: SessionId=64615
WARNING 2020-11-10 09:13:46,657 - [Errno 9] Bad file descriptor
INFO 2020-11-10 09:13:46,659 - POST -> Client has accessed Root1/data.txt and the post info is - 

INFO 2020-11-10 09:13:46,659 - POST -> cookie sent: SessionId=64615
WARNING 2020-11-10 09:13:46,660 - [Errno 9] Bad file descriptor
INFO 2020-11-10 09:13:46,666 - POST -> Client has accessed Root1/data.txt and the post info is - 
Test data for multiple PUT
INFO 2020-11-10 09:13:46,667 - POST -> cookie sent: SessionId=64615
WARNING 2020-11-10 09:13:46,667 - [Errno 9] Bad file descriptor
INFO 2020-11-10 09:13:46,669 - POST -> Client has accessed Root1/data.txt and the post info is - 
Test data for multiple PUT
INFO 2020-11-10 09:13:46,670 - POST -> cookie sent: SessionId=64615
WARNING 2020-11-10 09:13:46,670 - [Errno 9] Bad file descriptor
INFO 2020-11-10 09:13:46,670 - POST -> Client has accessed Root1/data.txt and the post info is - 
Test data for multiple PUT
INFO 2020-11-10 09:13:46,671 - POST -> cookie sent: SessionId=64615
WARNING 2020-11-10 09:13:46,671 - [Errno 9] Bad file descriptor
INFO 2020-11-10 09:13:46,672 - POST -> Client has accessed Root1/data.txt and the post info is - 
Test data for multiple PUT
INFO 2020-11-10 09:13:46,672 - POST -> cookie sent: SessionId=64615
WARNING 2020-11-10 09:13:46,672 - [Errno 9] Bad file descriptor
INFO 2020-11-10 09:13:46,676 - POST -> Client has accessed Root1/data.txt and the post info is - 
Test data for multiple PUT
INFO 2020-11-10 09:13:46,676 - POST -> cookie sent: SessionId=64615
WARNING 2020-11-10 09:13:46,676 - [Errno 9] Bad file descriptor
INFO 2020-11-10 09:13:46,677 - POST -> Client has accessed Root1/data.txt and the post info is - 
Test data for multiple PUT
INFO 2020-11-10 09:13:46,677 - POST -> cookie sent: SessionId=64615
WARNING 2020-11-10 09:13:46,678 - [Errno 9] Bad file descriptor
INFO 2020-11-10 09:13:46,680 - POST -> Client has accessed Root1/data.txt and the post info is - 
Test data for multiple PUT
INFO 2020-11-10 09:13:46,681 - POST -> Client has accessed Root1/data.txt and the post info is - 
Test data for multiple PUT
INFO 2020-11-10 09:13:46,681 - POST -> cookie sent: SessionId=64615
WARNING 2020-11-10 09:13:46,681 - [Errno 9] Bad file descriptor
INFO 2020-11-10 09:13:46,681 - POST -> cookie sent: SessionId=64615
WARNING 2020-11-10 09:13:46,682 - [Errno 9] Bad file descriptor
INFO 2020-11-10 09:13:46,682 - POST -> Client has accessed Root1/data.txt and the post info is - 
Test data for multiple PUT
INFO 2020-11-10 09:13:46,682 - POST -> cookie sent: SessionId=64615
WARNING 2020-11-10 09:13:46,683 - [Errno 9] Bad file descriptor
INFO 2020-11-10 09:13:46,685 - POST -> Client has accessed Root1/data.txt and the post info is - 
Test data for multiple PUT
INFO 2020-11-10 09:13:46,685 - POST -> cookie sent: SessionId=64615
WARNING 2020-11-10 09:13:46,685 - [Errno 9] Bad file descriptor
INFO 2020-11-10 09:13:46,686 - POST -> Client has accessed Root1/data.txt and the post info is - 
Test data for multiple PUT
INFO 2020-11-10 09:13:46,687 - POST -> cookie sent: SessionId=64615
WARNING 2020-11-10 09:13:46,687 - [Errno 9] Bad file descriptor
INFO 2020-11-10 09:13:46,689 - POST -> Client has accessed Root1/data.txt and the post info is - 

INFO 2020-11-10 09:13:46,690 - POST -> Client has accessed Root1/data.txt and the post info is - 
Test data for multiple PUT
INFO 2020-11-10 09:13:46,690 - POST -> Client has accessed Root1/data.txt and the post info is - 

INFO 2020-11-10 09:13:46,690 - POST -> cookie sent: SessionId=64615
INFO 2020-11-10 09:13:46,690 - POST -> cookie sent: SessionId=64615
WARNING 2020-11-10 09:13:46,691 - [Errno 9] Bad file descriptor
